12,12,12
5,6,25
50,4,49
12,17,18
11,11,11
27,5,5
4,4,4
12,12,12
12,12,12
7,9,7
12,12,12
12,17,18
4,5,6
12,4,12
40,41,4
38,13,38
4,27,10
6,5,4
12,17,18
4,49,51
27,10,27
5,4,10
22,4,6
6,5,5
5,6,5
6,5,6
4,5,6
4,4,4
4,14,4
27,10,27
4,4,4
4,4,4
4,5,4
6,5,6
6,5,5
45,45,46
4,4,4
14,14,14
6,5,6
4,4,4
4,4,4
5,6,7
27,10,27
4,5,4
4,4,4
7,9,9
6,7,4
42,4,43
6,5,6
5,5,6
12,17,18
5,4,26
5,5,5
4,5,6
11,11,11
5,6,5
50,4,49
45,46,41
12,4,12
4,27,10
4,6,6
5,4,4
14,14,14
4,5,6
17,18,12
6,5,6
4,4,5
5,6,5
46,41,40
5,5,5
14,14,14
5,4,5
4,4,22
5,4,5
6,5,6
26,10,25
4,5,4
4,5,27
4,5,6
5,6,5
4,4,5
4,4,5
4,5,6
4,5,4
5,4,5
27,10,27
43,44,45
9,5,10
47,4,48
5,5,6
12,17,18
4,5,6
25,7,5
47,4,48
45,46,41
4,4,4
5,6,25
5,6,4
50,4,49
4,5,4
26,4,4
4,14,4
4,5,6
4,5,6
22,4,6
5,6,5
5,5,6
5,6,5
14,14,14
14,14,14
4,40,41
8,7,9
45,45,46
12,12,12
4,7,4
4,42,4
14,4,14
5,5,5
5,6,7
9,9,9
14,4,14
5,4,5
4,5,6
25,7,5
4,4,4
6,5,4
4,25,26
45,46,41
4,4,4
7,9,7
43,44,45
4,26,26
4,10,5
5,4,4
17,18,12
5,5,6
5,4,5
4,6,6
4,5,6
4,5,4
9,5,10
14,4,14
4,5,6
5,5,5
4,5,6
12,4,12
5,6,7
5,4,5
45,46,41
4,6,5
4,6,27
46,41,40
47,4,48
5,6,7
4,5,4
6,6,6
4,5,4
5,6,5
7,9,9
27,5,5
47,4,48
4,4,6
4,49,51
25,26,26
4,4,22
4,4,4
5,5,5
4,4,4
12,12,12
7,5,4
25,26,26
44,45,45
45,45,46
5,4,5
14,4,14
4,5,4
5,6,4
17,18,12
8,7,9
5,6,25
4,4,5
4,6,5
22,4,6
14,4,14
4,22,4
