4,4,5
5,4,6
4,4,4
4,4,4
4,4,4
4,4,6
4,6,7
6,7,8
7,8,7
8,7,9
7,9,7
9,7,7
7,7,9
7,9,9
9,9,9
9,9,9
9,9,5
9,5,10
4,5,6
4,4,5
4,6,5
12,4,12
12,17,18
17,18,12
4,4,22
4,22,4
22,4,6
4,6,5
6,5,4
5,4,5
4,5,4
5,4,5
4,6,6
6,6,6
6,6,25
6,25,26
25,26,26
14,14,14
4,27,10
27,10,27
4,25,26
4,7,4
4,26,4
26,4,4
4,26,10
26,10,25
10,25,7
25,7,5
7,5,4
4,4,4
4,4,4
4,4,5
4,5,6
5,6,5
14,14,14
4,5,6
5,6,25
4,5,4
4,5,27
5,27,5
27,5,5
5,5,6
4,5,4
5,4,26
4,6,5
6,5,5
5,5,5
5,5,5
5,5,6
5,6,4
4,5,6
5,6,5
6,5,6
5,6,5
6,5,5
5,5,5
5,5,5
5,5,6
37,5,26
4,14,4
38,13,38
4,5,4
5,4,5
14,4,14
4,10,5
12,12,12
12,12,12
4,40,41
40,41,4
41,4,4
4,42,4
42,4,43
4,43,43
43,43,44
43,44,45
44,45,45
45,45,46
45,46,41
46,41,40
47,4,48
50,4,49
4,49,51
4,5,5
5,5,6
11,11,11
4,5,6
5,6,7
6,7,54
4,5,6
5,6,7
4,5,4
5,4,10
4,4,4
26,10,26
4,5,4
5,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
12,4,12
4,26,26
5,5,5
14,4,14
12,12,12
12,12,59
4,6,27
6,27,6
27,6,7
6,7,4
7,4,4
4,4,4
4,6,5
6,5,6
5,6,4
5,4,5
4,5,4
5,4,5
4,5,4
5,4,5
4,5,4
4,5,6
